# YYYYMMDD, RMM1, RMM2, Phase, Amplitude,RMM1_filt,RMM2_filt,Phase_filt,Amplitude_filt
19800101,0.13576416,0.218418197,6,0.257173903,,,,
19800102,0.195374544,0.380092075,6,0.427365415,,,,
19800103,0.204200817,0.491731023,6,0.532444713,,,,
19800104,0.260659307,0.721584479,6,0.767220591,,,,
19800105,0.207576965,0.933227539,6,0.956034432,,,,
19800106,0.165962397,1.263463213,6,1.274316605,,,,
19800107,0.139064406,1.319613988,6,1.326921244,,,,
19800108,0.210401889,1.07393688,6,1.094353406,,,,
19800109,0.099911825,0.902862532,6,0.90837389,,,,
19800110,0.177810522,0.996166217,6,1.011910921,,,,
19800111,0.166822466,0.890324463,6,0.905818627,,,,
19800112,0.03326408,0.741220137,6,0.741966165,,,,
19800113,-0.051502937,0.50068432,7,0.503326277,,,,
19800114,-0.477557236,0.340510307,8,0.586522108,,,,
19800115,-0.629441654,0.179903222,8,0.654646443,,,,
19800116,-0.637176309,-0.291416677,1,0.700654928,,,,
19800117,-0.508158349,-0.613750157,2,0.796815011,,,,
19800118,-0.586310425,-0.34948454,1,0.682568208,,,,
19800119,-0.428014826,0.035368233,8,0.429473635,,,,
19800120,-0.074095539,0.19100699,7,0.204875131,,,,
19800121,-0.043259103,0.184099475,7,0.189113635,,,,
19800122,-0.037961142,0.203780034,7,0.207285674,,,,
19800123,-0.076991478,-0.075079233,1,0.107538732,,,,
19800124,-0.139270662,-0.379313761,2,0.404073319,,,,
19800125,-0.183004009,-0.288985267,2,0.342056942,,,,
19800126,-0.193973721,-0.14155798,1,0.240134267,,,,
19800127,-0.047459506,0.038759281,8,0.061275497,,,,
19800128,0.138623995,0.120785994,5,0.183863722,,,,
19800129,0.242004904,0.326685929,6,0.406558815,,,,
19800130,0.317623192,0.31964928,6,0.450621963,,,,
19800131,-0.041890669,0.733029046,7,0.73422504,,,,
19800201,-0.463808161,0.736294575,7,0.870199811,,,,
19800202,-0.598148721,0.628510088,7,0.867644411,,,,
19800203,-0.437657331,0.678295499,7,0.807235234,,,,
19800204,-0.193683988,0.952433838,7,0.971927828,,,,
19800205,-0.154545658,0.979727651,7,0.991842039,,,,
19800206,-0.268157655,0.821669948,7,0.86432056,,,,
19800207,-0.448098402,0.74554292,7,0.869842758,,,,
19800208,-0.496563679,0.858103411,7,0.991421682,,,,
19800209,-0.385852528,0.880067426,7,0.960937484,,,,
19800210,-0.468183461,0.866388717,7,0.984797016,,,,
19800211,-0.468719713,0.817510623,7,0.94234908,,,,
19800212,-0.65415566,0.901641934,7,1.113946949,,,,
19800213,-1.014402802,0.880307585,8,1.343113729,,,,
19800214,-1.254952839,0.772469258,8,1.473640181,,,,
19800215,-1.264978349,0.812544547,8,1.503462293,,,,
19800216,-1.274484831,0.71927377,8,1.463443316,,,,
19800217,-1.471015391,0.625844063,8,1.59861411,,,,
19800218,-1.379835988,0.647280499,8,1.52411266,,,,
19800219,-1.140379153,0.475264714,8,1.235451804,,,,
19800220,-1.140856357,0.357281951,8,1.195493044,,,,
19800221,-0.923699826,0.405444061,8,1.008764718,,,,
19800222,-0.649453255,0.413014062,8,0.769655862,,,,
19800223,-0.452538542,0.365230142,8,0.58153606,,,,
19800224,-0.496327921,0.308492539,8,0.584387758,,,,
19800225,-0.649800133,-0.001441718,1,0.649801732,,,,
19800226,-0.644391614,0.00599362,8,0.644419487,,,,
19800227,-0.481032469,0.006190291,8,0.481072298,,,,
19800228,-0.579463829,-0.322944659,1,0.663378913,,,,
19800229,-0.854130022,-0.155345663,1,0.868141906,,,,
19800301,-0.5901513,-0.330284846,1,0.676288871,,,,
19800302,-0.713929742,-0.450687269,1,0.844283537,,,,
19800303,-0.565084331,-0.66423511,2,0.872082899,,,,
19800304,-0.31888255,-0.70204928,2,0.771076697,,,,
19800305,0.100403578,-1.022227899,3,1.027146901,,,,
19800306,0.413421092,-1.192416239,3,1.262051301,,,,
19800307,0.866011833,-1.176166524,3,1.460597202,,,,
19800308,1.084757157,-0.965760561,4,1.452374452,,,,
19800309,1.17372546,-0.751416054,4,1.393649003,,,,
19800310,1.059060187,-0.80626109,4,1.331039227,,,,
19800311,0.934646175,-0.346174533,4,0.996694677,,,,
19800312,0.926996845,-0.024164841,4,0.927311755,,,,
19800313,0.724072086,0.018078486,5,0.724297741,,,,
19800314,0.590270832,0.095448368,5,0.597938162,,,,
19800315,0.884047303,0.045843771,5,0.885235159,,,,
19800316,0.859272604,0.306337599,5,0.912245654,,,,
19800317,0.640810585,0.777440902,6,1.00749817,,,,
19800318,0.542301018,1.168335342,6,1.288059729,,,,
19800319,0.419209665,1.305102764,6,1.37077714,,,,
19800320,0.241345963,1.369911753,6,1.391009016,,,,
19800321,0.083250177,1.437801885,6,1.440210002,,,,
19800322,0.052145317,1.563392224,6,1.564261608,,,,
19800323,0.20519472,1.473483276,6,1.4877022,,,,
19800324,0.239964796,1.554248988,6,1.572664306,,,,
19800325,0.113334879,1.721530922,6,1.725257519,,,,
19800326,-0.088081578,2.03277645,7,2.034683872,,,,
19800327,-0.511570893,2.290316166,7,2.346753697,,,,
19800328,-0.888864241,2.365132442,7,2.526644239,,,,
19800329,-1.42718702,2.193211338,7,2.61668469,,,,
19800330,-2.177881709,2.026019714,8,2.97454612,,,,
19800331,-2.83936958,1.875122582,8,3.402661357,,,,
19800401,-2.765493878,1.46776768,8,3.130862238,,,,
19800402,-2.58338644,1.007576189,8,2.772921793,,,,
19800403,-2.373218453,0.765585374,8,2.493649292,,,,
19800404,-2.18958935,0.504470468,8,2.246951707,,,,
19800405,-2.238191463,0.251301855,8,2.252255236,,,,
19800406,-2.254125795,-0.020980645,1,2.254223433,,,,
19800407,-2.274587907,-0.079529263,1,2.275977823,,,,
19800408,-2.131786306,-0.288206688,1,2.15118013,,,,
19800409,-1.962252365,-0.549022768,1,2.037611431,,,,
19800410,-1.600597264,-0.992544527,1,1.883363014,,,,
19800411,-1.175264158,-1.183177351,2,1.667679371,,,,
19800412,-0.51034133,-1.360441842,2,1.453014204,,,,
19800413,0.118379331,-1.444010135,3,1.448854353,,,,
19800414,0.79760315,-1.223985425,3,1.460928166,,,,
19800415,1.460980021,-1.174904468,4,1.874796824,,,,
19800416,1.646617875,-0.754261241,4,1.81114893,,,,
19800417,1.614855064,-0.12560713,4,1.619732703,,,,
19800418,1.504977409,0.343489995,5,1.543678198,,,,
19800419,1.162058951,0.904124563,5,1.472352617,,,,
19800420,0.783277631,1.407817732,6,1.611047676,,,,
19800421,0.687314047,1.657791335,6,1.794623278,,,,
19800422,0.589968554,1.655207582,6,1.757206599,,,,
19800423,0.378583962,1.454059727,6,1.502536358,,,,
19800424,0.177008242,1.332094468,6,1.343803404,,,,
19800425,-0.23253427,1.163901805,7,1.186903365,,,,
19800426,-0.589600077,1.151203569,7,1.293405547,,,,
19800427,-0.74330695,0.939223941,7,1.197767438,,,,
19800428,-0.900504608,0.659883499,8,1.116402607,,,,
19800429,-0.974398165,0.381894803,8,1.046563627,-0.6684428684333333,-0.05299531999166668,1.0,0.670540359
19800430,-1.090803412,0.060634532,8,1.092487359,-0.774626719,-0.3729407271166667,1.0,0.85972748
19800501,-1.148526032,-0.120288231,1,1.154807908,-0.8211501675333333,-0.5496936542333334,1.0,0.988155206
19800502,-0.961745682,-0.251586584,1,0.994107925,-0.6246535967083333,-0.6747976938416667,2.0,0.919534689
19800503,-0.763518695,-0.416490438,1,0.869727016,-0.417891793025,-0.8302175902,2.0,0.929459411
19800504,-0.620008011,-0.435985974,1,0.757953629,-0.26748456755833333,-0.8383030135916667,2.0,0.879943144
19800505,-0.445015925,-0.195851648,1,0.486206789,-0.08740099554166664,-0.5860077304166667,2.0,0.592489658
19800506,-0.39048381,-0.021591494,1,0.391080296,-0.02845597874166661,-0.40057086406666664,2.0,0.401580328
19800507,-0.402343639,0.072748541,8,0.408867649,-0.035209595008333316,-0.29788759290833333,2.0,0.29996122
19800508,-0.531198453,-0.024389887,1,0.531758087,-0.15880515669166667,-0.38729891741666667,2.0,0.418592318
19800509,-0.356189112,-0.028079608,1,0.357294203,0.02065418125833335,-0.3824532565416666,3.0,0.383010559
19800510,-0.225945692,0.102400324,8,0.248067092,0.15417066924166664,-0.24540729005,3.0,0.289816034
19800511,-0.324134423,0.212310803,8,0.387477743,0.05896025910000002,-0.13108923326666666,3.0,0.143738301
19800512,-0.647965242,0.002425924,8,0.647969783,-0.2599000406916667,-0.3368219589666666,2.0,0.425437497
19800513,-0.642285925,-0.279342408,1,0.700402306,-0.2528479846166667,-0.613424851675,2.0,0.66349239
19800514,-0.408797228,-0.439912745,2,0.600531762,-0.021197991166666708,-0.7688300556166666,2.0,0.769122233
19800515,-0.227776101,-0.428270068,2,0.485074431,0.15641146743333334,-0.7560469336916666,3.0,0.772056677
19800516,-0.165109573,-0.300618435,2,0.342976113,0.21621925563333333,-0.6310047317083334,3.0,0.667021542
19800517,-0.090937549,-0.307985307,2,0.321130172,0.28626317233333337,-0.63871743065,3.0,0.699933254
19800518,-0.023490305,-0.306036314,2,0.306936508,0.3503393786583333,-0.6339233997583333,3.0,0.724290382
19800519,-0.17882249,-0.274820554,2,0.327877752,0.19587991825,-0.5988257435583333,3.0,0.63004858
19800520,-0.334190098,-0.330965516,1,0.470341572,0.042936735208333354,-0.6506784973,3.0,0.652093605
19800521,-0.454417423,-0.40315682,1,0.607478902,-0.07382012078333328,-0.7178119941833334,2.0,0.721597859
19800522,-0.370708499,-0.451270508,2,0.584011869,0.012336445058333312,-0.7627907548916667,3.0,0.762890506
19800523,-0.140063172,-0.410663236,2,0.433891675,0.2429883763083333,-0.7219222372666667,3.0,0.761718496
19800524,0.022747022,-0.569068822,3,0.569523267,0.4040839783833333,-0.8779937936416666,3.0,0.966517958
19800525,0.106018292,-0.255787499,3,0.276888286,0.4848553149416666,-0.5637605579833334,3.0,0.743579615
19800526,0.214399885,-0.075582593,4,0.227332442,0.59105474635,-0.3826028030333334,4.0,0.7040814
