,DATE,S.IndAll
0,1980-01-01,0
1,1980-01-02,0
2,1980-01-03,0
3,1980-01-04,0
4,1980-01-05,0
5,1980-01-06,0
6,1980-01-07,0
7,1980-01-08,0
8,1980-01-09,0
9,1980-01-10,0
10,1980-01-11,0
11,1980-01-12,0
12,1980-01-13,0
13,1980-01-14,0
14,1980-01-15,0
15,1980-01-16,0
16,1980-01-17,0
17,1980-01-18,0
18,1980-01-19,0
19,1980-01-20,0
20,1980-01-21,0
21,1980-01-22,0
22,1980-01-23,0
23,1980-01-24,1
24,1980-01-25,1
25,1980-01-26,1
26,1980-01-27,0
27,1980-01-28,0
28,1980-01-29,0
29,1980-01-30,0
30,1980-01-31,0
31,1980-02-01,0
32,1980-02-02,1
33,1980-02-03,1
34,1980-02-04,1
35,1980-02-05,1
36,1980-02-06,1
37,1980-02-07,0
38,1980-02-08,0
39,1980-02-09,0
40,1980-02-10,0
41,1980-02-11,0
42,1980-02-12,0
43,1980-02-13,0
44,1980-02-14,0
45,1980-02-15,0
46,1980-02-16,0
47,1980-02-17,0
48,1980-02-18,0
49,1980-02-19,0
50,1980-02-20,0
51,1980-02-21,0
52,1980-02-22,0
53,1980-02-23,0
54,1980-02-24,0
55,1980-02-25,1
56,1980-02-26,0
57,1980-02-27,0
58,1980-02-28,0
59,1980-02-29,0
60,1980-03-01,0
61,1980-03-02,0
62,1980-03-03,0
63,1980-03-04,0
64,1980-03-05,0
65,1980-03-06,0
66,1980-03-07,0
67,1980-03-08,0
68,1980-03-09,0
69,1980-03-10,0
70,1980-03-11,1
71,1980-03-12,1
72,1980-03-13,1
73,1980-03-14,1
74,1980-03-15,1
75,1980-03-16,0
76,1980-03-17,0
77,1980-03-18,0
78,1980-03-19,0
79,1980-03-20,0
80,1980-03-21,0
81,1980-03-22,0
82,1980-03-23,0
83,1980-03-24,0
84,1980-03-25,0
85,1980-03-26,0
86,1980-03-27,0
87,1980-03-28,0
88,1980-03-29,0
89,1980-03-30,0
90,1980-03-31,0
91,1980-04-01,0
92,1980-04-02,0
93,1980-04-03,0
94,1980-04-04,0
95,1980-04-05,0
96,1980-04-06,0
97,1980-04-07,0
98,1980-04-08,0
99,1980-04-09,0
100,1980-04-10,0
101,1980-04-11,0
102,1980-04-12,0
103,1980-04-13,0
104,1980-04-14,0
105,1980-04-15,0
106,1980-04-16,0
107,1980-04-17,0
108,1980-04-18,0
109,1980-04-19,0
110,1980-04-20,0
111,1980-04-21,0
112,1980-04-22,0
113,1980-04-23,0
114,1980-04-24,0
115,1980-04-25,0
116,1980-04-26,0
117,1980-04-27,0
118,1980-04-28,0
119,1980-04-29,0
120,1980-04-30,0
121,1980-05-01,0
122,1980-05-02,0
123,1980-05-03,0
124,1980-05-04,0
125,1980-05-05,0
126,1980-05-06,0
127,1980-05-07,0
128,1980-05-08,0
129,1980-05-09,0
130,1980-05-10,0
131,1980-05-11,0
132,1980-05-12,0
133,1980-05-13,0
134,1980-05-14,0
135,1980-05-15,0
136,1980-05-16,0
137,1980-05-17,0
138,1980-05-18,0
139,1980-05-19,0
140,1980-05-20,0
141,1980-05-21,0
142,1980-05-22,0
143,1980-05-23,0
144,1980-05-24,0
145,1980-05-25,0
146,1980-05-26,0
147,1980-05-27,0
148,1980-05-28,0
149,1980-05-29,0
150,1980-05-30,0
151,1980-05-31,0
152,1980-06-01,0
153,1980-06-02,0
154,1980-06-03,0
155,1980-06-04,0
156,1980-06-05,0
157,1980-06-06,0
158,1980-06-07,0
159,1980-06-08,0
160,1980-06-09,0
161,1980-06-10,0
162,1980-06-11,0
163,1980-06-12,0
164,1980-06-13,0
165,1980-06-14,0
166,1980-06-15,0
167,1980-06-16,0
168,1980-06-17,0
169,1980-06-18,0
170,1980-06-19,0
171,1980-06-20,0
172,1980-06-21,0
173,1980-06-22,0
174,1980-06-23,0
175,1980-06-24,0
176,1980-06-25,0
177,1980-06-26,0
178,1980-06-27,0
179,1980-06-28,0
180,1980-06-29,0
181,1980-06-30,0
182,1980-07-01,0
183,1980-07-02,0
184,1980-07-03,0
185,1980-07-04,0
186,1980-07-05,0
187,1980-07-06,0
188,1980-07-07,0
189,1980-07-08,0
190,1980-07-09,0
191,1980-07-10,0
192,1980-07-11,0
193,1980-07-12,0
194,1980-07-13,0
195,1980-07-14,0
196,1980-07-15,0
197,1980-07-16,0
198,1980-07-17,0
199,1980-07-18,0
200,1980-07-19,0
201,1980-07-20,0
202,1980-07-21,0
203,1980-07-22,0
204,1980-07-23,0
205,1980-07-24,0
206,1980-07-25,0
207,1980-07-26,0
208,1980-07-27,0
209,1980-07-28,0
210,1980-07-29,0
211,1980-07-30,0
212,1980-07-31,0
213,1980-08-01,0
214,1980-08-02,0
215,1980-08-03,0
216,1980-08-04,0
217,1980-08-05,0
218,1980-08-06,0
219,1980-08-07,0
220,1980-08-08,0
221,1980-08-09,0
222,1980-08-10,0
223,1980-08-11,0
224,1980-08-12,0
225,1980-08-13,0
226,1980-08-14,0
227,1980-08-15,0
228,1980-08-16,0
229,1980-08-17,0
230,1980-08-18,0
231,1980-08-19,0
232,1980-08-20,0
233,1980-08-21,0
234,1980-08-22,0
235,1980-08-23,0
236,1980-08-24,0
237,1980-08-25,0
238,1980-08-26,0
239,1980-08-27,0
